Time (secs);Force sensor voltage (volts);Force sensor voltage error (volts);Diode circuit voltage (volts);Diode circuit voltage error (volts)
0.00E+00;5.47E-01;1.49E-03;8.21E-01;1.87E-03
1.00E+00;5.47E-01;1.36E-03;8.21E-01;1.93E-03
2.00E+00;5.47E-01;1.44E-03;8.21E-01;1.96E-03
3.00E+00;5.47E-01;1.43E-03;8.21E-01;1.10E-03
4.00E+00;5.47E-01;1.43E-03;8.21E-01;1.26E-03
5.00E+00;5.47E-01;1.45E-03;8.21E-01;1.16E-03
6.00E+00;5.47E-01;1.33E-03;8.21E-01;1.41E-03
7.00E+00;5.47E-01;1.34E-03;8.21E-01;1.26E-03
8.00E+00;5.47E-01;1.43E-03;8.21E-01;1.34E-03
9.00E+00;5.47E-01;1.20E-03;8.21E-01;1.17E-03
1.00E+01;5.47E-01;1.40E-03;8.21E-01;1.30E-03
1.10E+01;5.47E-01;1.45E-03;8.21E-01;1.24E-03
1.20E+01;5.47E-01;1.39E-03;8.21E-01;1.22E-03
1.30E+01;5.47E-01;1.37E-03;8.21E-01;1.18E-03
1.40E+01;5.47E-01;1.47E-03;8.21E-01;1.23E-03
1.50E+01;5.47E-01;1.33E-03;8.21E-01;1.81E-03
1.60E+01;5.47E-01;1.42E-03;8.21E-01;1.74E-03
1.70E+01;5.47E-01;1.11E-03;8.21E-01;1.77E-03
1.80E+01;5.47E-01;1.43E-03;8.21E-01;1.94E-03
1.90E+01;5.47E-01;1.26E-03;8.21E-01;1.11E-03
2.00E+01;5.47E-01;1.22E-03;8.21E-01;1.73E-03
2.10E+01;5.47E-01;1.46E-03;8.20E-01;1.21E-03
2.20E+01;5.47E-01;1.40E-03;8.20E-01;1.61E-03
2.30E+01;5.47E-01;1.43E-03;8.20E-01;1.33E-03
2.40E+01;5.48E-01;1.60E-03;8.21E-01;1.26E-03
2.50E+01;5.47E-01;1.31E-03;8.20E-01;1.32E-03
2.60E+01;5.48E-01;1.30E-03;8.20E-01;1.97E-03
2.70E+01;5.47E-01;1.45E-03;8.20E-01;1.79E-03
2.80E+01;5.47E-01;1.38E-03;8.20E-01;1.21E-03
2.90E+01;5.48E-01;1.41E-03;8.20E-01;1.19E-03
3.00E+01;5.48E-01;1.39E-03;8.20E-01;1.90E-03
3.10E+01;5.47E-01;1.44E-03;8.20E-01;1.12E-03
3.20E+01;5.47E-01;1.49E-03;8.20E-01;1.35E-03
3.30E+01;5.48E-01;1.51E-03;8.20E-01;1.16E-03
3.40E+01;5.47E-01;1.35E-03;8.20E-01;1.36E-03
3.50E+01;5.48E-01;1.50E-03;8.20E-01;1.65E-03
3.60E+01;5.47E-01;1.31E-03;8.20E-01;1.76E-03
3.70E+01;5.48E-01;1.33E-03;8.20E-01;1.80E-03
3.80E+01;5.47E-01;1.37E-03;8.20E-01;1.69E-03
3.90E+01;5.48E-01;1.36E-03;8.20E-01;1.28E-03
4.00E+01;5.48E-01;1.42E-03;8.20E-01;1.58E-03
4.10E+01;5.47E-01;1.44E-03;8.20E-01;1.19E-03
4.20E+01;5.48E-01;1.36E-03;8.20E-01;1.60E-03
4.30E+01;5.48E-01;1.50E-03;8.20E-01;1.30E-03
4.40E+01;5.48E-01;1.35E-03;8.20E-01;1.11E-03
4.50E+01;5.47E-01;1.44E-03;8.20E-01;1.45E-03
4.60E+01;5.48E-01;1.51E-03;8.20E-01;1.18E-03
4.70E+01;5.47E-01;1.27E-03;8.20E-01;1.77E-03
4.80E+01;5.48E-01;1.30E-03;8.20E-01;1.76E-03
4.90E+01;5.47E-01;1.35E-03;8.20E-01;2.03E-03
5.00E+01;5.48E-01;1.52E-03;8.19E-01;1.65E-03
5.10E+01;5.48E-01;1.33E-03;8.20E-01;1.91E-03
5.20E+01;5.48E-01;1.33E-03;8.20E-01;1.64E-03
5.30E+01;5.47E-01;1.36E-03;8.19E-01;1.36E-03
5.40E+01;5.48E-01;1.36E-03;8.19E-01;1.79E-03
