0	0.3	0.7
0.1	0.5	1.3
0.2	1.2	2.9
0.3	2.2	5
0.4	3.4	7.8
0.5	4.7	11.1
0.6	5.9	14.6
0.7	7.1	18.5
0.8	8.1	22.8
0.9	9	27.3
1	9.7	31.9
1.1	10.2	36.5
1.2	10.5	41.5
1.3	10.7	46.4
1.4	10.9	52.1
1.5	10.8	57.4
1.6	10.7	62.9
1.7	10.5	68.4
1.8	10.3	74
1.9	10.4	73.5
2	10.1	79.3
2.5	8.4	115.8
3	7.7	146.5
3.5	7.3	178.3
4	7.3	212
4.5	7.3	244
5	7.5	278
5.5	7.7	312
6	8	347
6.5	8.6	383
7	9.2	421
7.5	10	461
8	11	502
8.5	12.3	544
9	14	586
9.5	16.2	629
10	19.2	674
10.5	22.6	710
11	26.9	754
11.5	32.6	802
12	42.7	860
12.5	82.5	977
13	625	1521
13.5	1319	1966
14	2020	2440
