0	2.9	2.1
0.1	4.1	3.9
0.2	5	6.6
0.3	6.1	10
0.4	7.3	13.7
0.5	8.5	17.6
0.6	9.6	21.6
0.7	11	25.2
0.8	12.5	30
0.9	14.1	34.8
1	15.6	39.7
1.1	17.2	44.6
1.2	19	49.9
1.3	20.7	55.2
1.4	22.7	61.3
1.5	24.6	67.9
1.6	26.35	72.4
1.7	28.3	78.6
1.8	28.8	85
1.9	31.9	90.7
2	33.8	97.3
2.5	43.2	130.3
3	53.4	164.3
3.5	66	199
4	80.5	236
4.5	96.7	274
5	114.2	315
5.5	132.6	357
6	150.7	402
6.5	167.9	449
7	182.6	499
7.5	199.5	556
8	217	604
8.5	238	659
9	262	714
9.5	286	770
10	309	828
10.5	321	880
11	327	934
11.5	314	985
12	448	988
12.5	531	962
13	646	1495
13.5	1281	1902
14	1895	2350
