0	0.4	0.1
0.1	1.2	0.5
0.2	2.5	1.1
0.3	6	2.5
0.4	7.6	3.4
0.5	10.6	4.6
0.6	14	5.8
0.7	17.5	7
0.8	21.9	8.2
0.9	26.2	9.1
1	30.7	9.8
1.1	35.3	10.4
1.2	40.1	10.7
1.3	45	10.9
1.4	50.2	11
1.5	55.1	11
1.6	60	11
1.7	65.3	10.9
1.8	71.3	10.7
1.9	77.2	10.4
2	83	34.4
2.5	113.1	43.6
3	143.6	54
3.5	175.2	7.5
4	206	66.5
4.5	235	81
5	315	114
5.5	356	122
6	401	150
6.5	449	167.4
7	497	182.9
7.5	548	199.1
8	601	217
8.5	656	238
9	710	260
9.5	766	284
10	823	307
10.5	880	321
11	934	327
11.5	985	314
12	988	45.3
12.5	962	83.3
13	1495	646
13.5	1902	1281
14	2350	1895
